epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.101,1.00973,1.78815,1.15044,0.97677,0.98734,0.99147,0.67676,1.12207,1.40606,1.15526,0.000662222,0.000662222,0.000662222
2,1400.73,1.02986,1.04546,1.1441,0.92478,0.93372,0.96671,0.68379,0.96726,1.00881,1.12819,0.00131573,0.00131573,0.00131573
3,2149.02,1.03165,0.80652,1.14958,0.96703,0.9557,0.98755,0.7198,0.97853,0.7987,1.09774,0.00195604,0.00195604,0.00195604
4,2896.01,1.02375,0.71035,1.14477,0.96152,0.9488,0.98831,0.73061,0.89516,0.71772,1.0984,0.0019406,0.0019406,0.0019406
5,3578.3,0.98273,0.63147,1.11313,0.97641,0.93671,0.95734,0.7033,0.91788,0.69546,1.05659,0.0019208,0.0019208,0.0019208
6,4233.54,0.97095,0.59477,1.11019,0.98097,0.97862,0.99275,0.76548,0.84209,0.50871,1.03418,0.001901,0.001901,0.001901
7,4924.8,0.94645,0.56783,1.0882,0.98747,0.99739,0.99469,0.78622,0.76151,0.43771,0.98602,0.0018812,0.0018812,0.0018812
8,5582.14,0.92218,0.54633,1.07891,0.9873,0.99367,0.99443,0.79747,0.78185,0.44319,0.99416,0.0018614,0.0018614,0.0018614
9,6193.77,0.89696,0.52478,1.06815,0.98115,0.98821,0.99379,0.79242,0.75272,0.46455,0.97412,0.0018416,0.0018416,0.0018416
10,6801.49,0.88629,0.51514,1.05072,0.97996,1,0.99392,0.70326,1.01655,0.48884,1.07761,0.0018218,0.0018218,0.0018218
11,7405.22,0.89027,0.50493,1.05984,1,0.99824,0.995,0.79735,0.79707,0.40568,0.98252,0.001802,0.001802,0.001802
12,8011.07,0.86495,0.48502,1.04734,0.9874,0.99214,0.99456,0.77494,0.85389,0.40944,1.01351,0.0017822,0.0017822,0.0017822
13,8621.64,0.85423,0.47417,1.03651,0.99664,0.99367,0.995,0.81106,0.73489,0.3756,0.96759,0.0017624,0.0017624,0.0017624
14,9227.07,0.85843,0.46577,1.03324,0.98117,0.9895,0.99456,0.8203,0.72868,0.38407,0.95463,0.0017426,0.0017426,0.0017426
15,9859.9,0.85861,0.46955,1.03724,0.9933,0.99367,0.995,0.80582,0.727,0.39163,0.95899,0.0017228,0.0017228,0.0017228
16,10577.5,0.82709,0.44869,1.02428,0.99265,1,0.99469,0.82235,0.69487,0.37021,0.94988,0.001703,0.001703,0.001703
17,11370.2,0.8352,0.45267,1.02745,0.98577,1,0.9943,0.78803,0.79818,0.38463,0.97657,0.0016832,0.0016832,0.0016832
18,12210.1,0.80686,0.44348,1.01715,0.98537,1,0.99488,0.80828,0.73941,0.37869,0.96081,0.0016634,0.0016634,0.0016634
19,12910.9,0.80962,0.43812,1.01141,0.98732,1,0.99269,0.82569,0.69154,0.36291,0.94929,0.0016436,0.0016436,0.0016436
20,13595.1,0.82133,0.43165,1.01297,0.99428,0.98734,0.99481,0.79185,0.78011,0.35784,0.96663,0.0016238,0.0016238,0.0016238
21,14216.7,0.79708,0.42668,1.00955,0.98745,0.99568,0.99386,0.79347,0.78511,0.38104,0.97624,0.001604,0.001604,0.001604
22,14858,0.78964,0.42244,1.01766,0.99271,0.99367,0.99494,0.82673,0.69303,0.33921,0.93706,0.0015842,0.0015842,0.0015842
23,15494.1,0.81163,0.42739,1.01507,0.98675,1,0.9934,0.81763,0.71881,0.36528,0.94386,0.0015644,0.0015644,0.0015644
24,16124.3,0.77833,0.41372,1.00291,0.99349,0.99367,0.995,0.80353,0.77717,0.35407,0.97352,0.0015446,0.0015446,0.0015446
25,16757.2,0.77607,0.41349,0.99347,0.99287,1,0.995,0.80462,0.74253,0.33032,0.95801,0.0015248,0.0015248,0.0015248
26,17397.2,0.76343,0.40564,0.99571,0.98714,1,0.99392,0.83418,0.66035,0.3375,0.94724,0.001505,0.001505,0.001505
27,18031.1,0.77037,0.40424,0.99917,0.99358,1,0.995,0.79021,0.76983,0.35558,0.97036,0.0014852,0.0014852,0.0014852
28,18669.7,0.76668,0.40187,0.9934,0.99257,1,0.995,0.82487,0.68528,0.33669,0.93308,0.0014654,0.0014654,0.0014654
29,19312.5,0.76891,0.39916,0.98871,0.98761,1,0.98991,0.80247,0.73021,0.34683,0.94191,0.0014456,0.0014456,0.0014456
30,19951,0.76726,0.39724,0.99768,0.99519,1,0.995,0.83699,0.65152,0.32256,0.93066,0.0014258,0.0014258,0.0014258
31,20592.4,0.75721,0.39422,0.98881,0.98135,1,0.99386,0.79769,0.7563,0.36219,0.9643,0.001406,0.001406,0.001406
32,21246.3,0.73477,0.38262,0.98272,0.98651,1,0.99488,0.81629,0.72714,0.33352,0.95454,0.0013862,0.0013862,0.0013862
33,21875.6,0.73809,0.38698,0.98333,0.99716,1,0.995,0.81356,0.71381,0.32438,0.93419,0.0013664,0.0013664,0.0013664
34,22496.3,0.72899,0.38091,0.9858,1,0.99901,0.995,0.8125,0.69488,0.32986,0.94288,0.0013466,0.0013466,0.0013466
35,23109.3,0.73209,0.37663,0.97841,0.99484,0.99367,0.995,0.82073,0.69085,0.32909,0.94232,0.0013268,0.0013268,0.0013268
36,23730.5,0.73667,0.37578,0.9766,0.99614,0.99367,0.995,0.83559,0.68142,0.31249,0.92362,0.001307,0.001307,0.001307
37,24347.9,0.71907,0.36734,0.97302,0.99382,1,0.995,0.83251,0.63908,0.31346,0.91954,0.0012872,0.0012872,0.0012872
38,24981.9,0.72955,0.37862,0.97507,0.98594,1,0.99468,0.83414,0.65657,0.31757,0.93244,0.0012674,0.0012674,0.0012674
39,25603.4,0.70635,0.3652,0.96334,0.98738,1,0.99487,0.84486,0.6467,0.30229,0.9245,0.0012476,0.0012476,0.0012476
40,26221.9,0.72761,0.37542,0.97516,1,0.99787,0.995,0.80994,0.73471,0.31939,0.94987,0.0012278,0.0012278,0.0012278
41,26839,0.72015,0.36268,0.97021,0.99014,1,0.995,0.84197,0.63688,0.30641,0.91691,0.001208,0.001208,0.001208
42,27457.6,0.70563,0.36088,0.96946,0.99227,1,0.995,0.80604,0.74559,0.32108,0.95319,0.0011882,0.0011882,0.0011882
43,28074.6,0.69035,0.35195,0.95647,0.99429,1,0.995,0.82272,0.66854,0.29562,0.93557,0.0011684,0.0011684,0.0011684
44,28690.7,0.69214,0.35301,0.96388,0.98103,1,0.99481,0.82392,0.64812,0.30448,0.92698,0.0011486,0.0011486,0.0011486
45,29313.5,0.6994,0.36045,0.96301,0.99283,1,0.99462,0.81803,0.67778,0.30299,0.93572,0.0011288,0.0011288,0.0011288
46,29960.6,0.67739,0.35028,0.95213,0.99267,1,0.99475,0.82347,0.66491,0.2969,0.92841,0.001109,0.001109,0.001109
47,30608.9,0.67581,0.33988,0.94787,0.99296,1,0.995,0.83007,0.67531,0.29668,0.92261,0.0010892,0.0010892,0.0010892
48,31250.3,0.67555,0.34479,0.95879,0.97332,1,0.99463,0.8222,0.69634,0.31056,0.94391,0.0010694,0.0010694,0.0010694
