epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,8121.98,0.57054,0.333,0.87167,0.99874,1,0.995,0.83532,0.67683,0.32949,0.89968,0.0011486,0.0011486,0.0011486
45,8304.27,0.5957,0.34836,0.87409,0.99901,1,0.995,0.84728,0.65616,0.31066,0.89016,0.0011288,0.0011288,0.0011288
46,8485.79,0.56982,0.32836,0.86946,0.99899,1,0.995,0.82907,0.68405,0.30258,0.89705,0.001109,0.001109,0.001109
47,8667.25,0.57224,0.33291,0.87103,0.999,1,0.995,0.83429,0.65426,0.30862,0.89664,0.0010892,0.0010892,0.0010892
48,8848.44,0.55993,0.32782,0.86577,0.99864,1,0.995,0.81901,0.68161,0.30773,0.90071,0.0010694,0.0010694,0.0010694
49,9028.42,0.55539,0.3258,0.87302,0.99902,1,0.995,0.82816,0.67824,0.31529,0.89601,0.0010496,0.0010496,0.0010496
50,9209.49,0.57964,0.33287,0.87485,0.99896,1,0.995,0.82304,0.66031,0.29249,0.90802,0.0010298,0.0010298,0.0010298
51,9389.99,0.5688,0.32835,0.86698,0.999,1,0.995,0.82211,0.68651,0.30228,0.90467,0.00101,0.00101,0.00101
52,9572.85,0.56992,0.32696,0.87266,0.99498,1,0.995,0.81518,0.69346,0.32587,0.91282,0.0009902,0.0009902,0.0009902
53,9753.86,0.57386,0.33071,0.875,0.99902,1,0.995,0.82519,0.70331,0.29389,0.91507,0.0009704,0.0009704,0.0009704
54,9936.81,0.55402,0.32327,0.87213,0.99899,1,0.995,0.81489,0.69026,0.2944,0.90106,0.0009506,0.0009506,0.0009506
55,10119.4,0.55173,0.32288,0.86801,0.99877,1,0.995,0.82945,0.65131,0.29263,0.89619,0.0009308,0.0009308,0.0009308
56,10299.1,0.5714,0.32026,0.86658,0.999,1,0.995,0.8341,0.68684,0.29701,0.89902,0.000911,0.000911,0.000911
57,10480.6,0.56737,0.31459,0.87219,0.999,1,0.995,0.82269,0.68647,0.29,0.90399,0.0008912,0.0008912,0.0008912
58,10661.9,0.53829,0.30145,0.85608,0.99901,1,0.995,0.83722,0.67283,0.27794,0.89779,0.0008714,0.0008714,0.0008714
59,10842,0.55572,0.304,0.86419,0.99896,1,0.995,0.82898,0.68693,0.28308,0.90147,0.0008516,0.0008516,0.0008516
60,11023.2,0.53065,0.29507,0.85119,0.99887,1,0.995,0.82003,0.69343,0.29627,0.904,0.0008318,0.0008318,0.0008318
61,11203.8,0.53016,0.29855,0.86129,0.99901,1,0.995,0.82688,0.68466,0.28573,0.90527,0.000812,0.000812,0.000812
62,11386.9,0.5296,0.294,0.85954,0.999,1,0.995,0.82256,0.65465,0.27917,0.8947,0.0007922,0.0007922,0.0007922
