epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.412,0.9577,2.34206,1.02445,0.00333,1,0.01166,0.00872,0.81119,3.49477,0.96179,0.000648649,0.000648649,0.000648649
2,357.48,0.84074,1.26853,0.95532,1,0.32078,0.995,0.76846,0.8457,2.62201,0.95245,0.00130229,0.00130229,0.00130229
3,527.636,0.81803,1.04002,0.94085,0.98287,0.98944,0.99483,0.77493,0.80613,1.14801,0.94485,0.00194274,0.00194274,0.00194274
4,693.193,0.86392,0.88042,0.96195,0.99841,1,0.995,0.72613,0.88035,0.87912,0.95178,0.0019406,0.0019406,0.0019406
5,860.812,0.80192,0.75435,0.92901,0.9982,1,0.995,0.79003,0.77811,0.83227,0.9217,0.0019208,0.0019208,0.0019208
6,1028.01,0.80655,0.68327,0.93865,0.99873,1,0.995,0.76153,0.87258,0.64058,0.94913,0.001901,0.001901,0.001901
7,1193.32,0.79805,0.61052,0.93406,0.99883,1,0.995,0.8041,0.73562,0.54146,0.90701,0.0018812,0.0018812,0.0018812
8,1359.16,0.73998,0.54001,0.89885,0.9819,1,0.99449,0.78368,0.80832,0.5363,0.93762,0.0018614,0.0018614,0.0018614
9,1524.55,0.73556,0.51391,0.9071,0.99841,1,0.995,0.78116,0.80702,0.51498,0.93066,0.0018416,0.0018416,0.0018416
10,1689.57,0.71537,0.49482,0.90326,0.99881,1,0.995,0.79459,0.81829,0.47123,0.9231,0.0018218,0.0018218,0.0018218
11,1855.17,0.71139,0.47677,0.90725,0.96639,1,0.99415,0.77476,0.79649,0.48679,0.93553,0.001802,0.001802,0.001802
12,2020.29,0.70594,0.44423,0.89751,0.98271,0.97992,0.99349,0.80168,0.74564,0.49858,0.90828,0.0017822,0.0017822,0.0017822
13,2185.98,0.7052,0.44448,0.8994,0.99848,1,0.995,0.8061,0.75725,0.45727,0.91667,0.0017624,0.0017624,0.0017624
14,2351.37,0.69122,0.42352,0.89233,0.99808,1,0.995,0.81695,0.74607,0.38354,0.91098,0.0017426,0.0017426,0.0017426
15,2518.99,0.69086,0.4146,0.89694,0.9984,1,0.995,0.81387,0.72875,0.39597,0.90899,0.0017228,0.0017228,0.0017228
16,2683.81,0.67587,0.40623,0.88895,0.99806,1,0.995,0.79928,0.75639,0.38605,0.91349,0.001703,0.001703,0.001703
17,2849.28,0.66247,0.39442,0.87941,0.99883,1,0.995,0.81997,0.74387,0.39469,0.91286,0.0016832,0.0016832,0.0016832
18,3013.88,0.68857,0.39432,0.88975,0.99885,1,0.995,0.8114,0.71489,0.35666,0.91373,0.0016634,0.0016634,0.0016634
19,3178.7,0.65775,0.37456,0.89025,0.99898,1,0.995,0.79443,0.77071,0.35775,0.90865,0.0016436,0.0016436,0.0016436
20,3343.9,0.67464,0.38303,0.89301,0.99895,1,0.995,0.81949,0.72993,0.35213,0.91033,0.0016238,0.0016238,0.0016238
21,3510.34,0.64925,0.37482,0.87394,0.99871,1,0.995,0.82842,0.70786,0.35943,0.90598,0.001604,0.001604,0.001604
22,3676.68,0.6507,0.37241,0.86683,0.99867,1,0.995,0.77863,0.78344,0.37095,0.91854,0.0015842,0.0015842,0.0015842
23,3841.69,0.6498,0.36222,0.87883,0.99894,1,0.995,0.80975,0.74832,0.34593,0.90369,0.0015644,0.0015644,0.0015644
24,4005.65,0.61873,0.35432,0.87765,0.99765,1,0.995,0.80145,0.75256,0.38403,0.92614,0.0015446,0.0015446,0.0015446
25,4171.05,0.63585,0.35854,0.86972,0.99847,1,0.995,0.76562,0.8187,0.38558,0.92811,0.0015248,0.0015248,0.0015248
26,4336.42,0.62028,0.34791,0.87412,0.99862,1,0.995,0.81951,0.68505,0.34514,0.88462,0.001505,0.001505,0.001505
27,4501.84,0.62569,0.35953,0.87406,0.99896,1,0.995,0.80522,0.75345,0.36392,0.91883,0.0014852,0.0014852,0.0014852
28,4667.64,0.63019,0.34931,0.87378,0.99863,1,0.995,0.79311,0.80714,0.35733,0.92022,0.0014654,0.0014654,0.0014654
29,4832.97,0.63807,0.34663,0.87866,0.9988,1,0.995,0.8206,0.71853,0.3474,0.90157,0.0014456,0.0014456,0.0014456
30,4997.81,0.59591,0.33995,0.86275,0.99972,1,0.995,0.80469,0.72557,0.33603,0.89285,0.0014258,0.0014258,0.0014258
31,5163.03,0.59665,0.34398,0.87185,0.99898,1,0.995,0.79642,0.79806,0.34823,0.92697,0.001406,0.001406,0.001406
32,5327.29,0.633,0.35079,0.87286,0.99894,1,0.995,0.78228,0.83617,0.3529,0.93638,0.0013862,0.0013862,0.0013862
33,5492.96,0.6024,0.33245,0.87607,0.99861,1,0.995,0.80905,0.73322,0.32233,0.90644,0.0013664,0.0013664,0.0013664
34,5658.62,0.58465,0.32026,0.85205,0.99866,1,0.995,0.81047,0.75154,0.32996,0.90989,0.0013466,0.0013466,0.0013466
35,5825.64,0.59179,0.33229,0.85437,0.99878,1,0.995,0.81625,0.68087,0.32603,0.90364,0.0013268,0.0013268,0.0013268
36,5992.56,0.61219,0.33305,0.87124,0.99892,1,0.995,0.83964,0.66651,0.31314,0.89236,0.001307,0.001307,0.001307
37,6158.89,0.5776,0.31822,0.85823,0.99896,1,0.995,0.80993,0.72679,0.32961,0.91195,0.0012872,0.0012872,0.0012872
38,6326.3,0.5801,0.33077,0.86171,0.99896,1,0.995,0.8273,0.69456,0.32807,0.89997,0.0012674,0.0012674,0.0012674
39,6494.96,0.58663,0.32404,0.86841,0.99892,1,0.995,0.8001,0.739,0.34076,0.91124,0.0012476,0.0012476,0.0012476
40,6660.1,0.56812,0.3166,0.85157,0.99992,1,0.995,0.82685,0.69381,0.31237,0.90808,0.0012278,0.0012278,0.0012278
41,6825.58,0.55917,0.30699,0.85142,0.99894,1,0.995,0.80606,0.71367,0.30907,0.91136,0.001208,0.001208,0.001208
42,6991.1,0.57242,0.307,0.853,0.99894,1,0.995,0.80919,0.74734,0.31393,0.91675,0.0011882,0.0011882,0.0011882
43,7156.51,0.56865,0.30811,0.85256,0.99839,1,0.995,0.80482,0.71136,0.30612,0.90977,0.0011684,0.0011684,0.0011684
44,7322.68,0.56075,0.29993,0.85325,0.99805,1,0.995,0.79959,0.74981,0.31892,0.91404,0.0011486,0.0011486,0.0011486
45,7488.79,0.56506,0.3122,0.86478,0.99887,1,0.995,0.81584,0.69626,0.30394,0.89791,0.0011288,0.0011288,0.0011288
46,7654.18,0.5559,0.3116,0.84521,0.99902,1,0.995,0.81312,0.71241,0.31179,0.90295,0.001109,0.001109,0.001109
47,7819.48,0.54784,0.29675,0.84425,0.99898,1,0.995,0.81024,0.69783,0.293,0.89435,0.0010892,0.0010892,0.0010892
48,7985.02,0.53846,0.29225,0.85119,0.999,1,0.995,0.79226,0.73162,0.32575,0.9136,0.0010694,0.0010694,0.0010694
49,8150.71,0.537,0.28815,0.84864,0.99894,1,0.995,0.81936,0.70928,0.30496,0.91445,0.0010496,0.0010496,0.0010496
50,8318.18,0.54345,0.28811,0.84304,0.99899,1,0.995,0.82821,0.68412,0.30255,0.898,0.0010298,0.0010298,0.0010298
51,8482.55,0.52596,0.29203,0.84561,0.99899,1,0.995,0.81644,0.70522,0.29376,0.90119,0.00101,0.00101,0.00101
52,8647.36,0.52937,0.28239,0.84834,0.99899,1,0.995,0.83364,0.67702,0.27569,0.89486,0.0009902,0.0009902,0.0009902
53,8812.26,0.53119,0.27825,0.85652,0.999,1,0.995,0.82199,0.67361,0.28096,0.90033,0.0009704,0.0009704,0.0009704
54,8977.36,0.50175,0.26892,0.83592,0.99893,1,0.995,0.81652,0.72066,0.30142,0.90552,0.0009506,0.0009506,0.0009506
55,9144.37,0.53667,0.2789,0.8443,0.99902,1,0.995,0.78826,0.77426,0.3011,0.93152,0.0009308,0.0009308,0.0009308
56,9309.85,0.5308,0.27753,0.84597,0.99893,1,0.995,0.82237,0.70835,0.29517,0.90611,0.000911,0.000911,0.000911
57,9477.52,0.51095,0.27399,0.84284,0.999,1,0.995,0.80938,0.73956,0.29678,0.9188,0.0008912,0.0008912,0.0008912
58,9644.11,0.52331,0.27637,0.84117,0.99902,1,0.995,0.82112,0.70405,0.28985,0.90509,0.0008714,0.0008714,0.0008714
59,9812.42,0.50434,0.26535,0.84229,0.99901,1,0.995,0.81925,0.70383,0.28568,0.89894,0.0008516,0.0008516,0.0008516
60,9978.91,0.49017,0.26233,0.83286,0.99902,1,0.995,0.80573,0.74725,0.27575,0.90836,0.0008318,0.0008318,0.0008318
61,10145.3,0.4872,0.26521,0.83142,0.99881,1,0.995,0.80889,0.71448,0.29069,0.90405,0.000812,0.000812,0.000812
62,10312.1,0.51124,0.2697,0.84242,0.99893,1,0.995,0.83404,0.69277,0.28844,0.90105,0.0007922,0.0007922,0.0007922
63,10486.7,0.49894,0.26532,0.83932,0.99903,1,0.995,0.81807,0.72451,0.29073,0.91613,0.0007724,0.0007724,0.0007724
64,10651.7,0.49635,0.26921,0.83333,0.99895,1,0.995,0.80951,0.71102,0.28121,0.91005,0.0007526,0.0007526,0.0007526
65,10817.9,0.47913,0.25915,0.82856,0.9989,1,0.995,0.80988,0.70755,0.27801,0.91794,0.0007328,0.0007328,0.0007328
66,10986.7,0.48872,0.2603,0.82402,0.99862,1,0.995,0.82013,0.67797,0.27712,0.90152,0.000713,0.000713,0.000713
67,11153.9,0.49076,0.26164,0.82354,0.99811,1,0.995,0.83221,0.68056,0.27982,0.90829,0.0006932,0.0006932,0.0006932
68,11318.7,0.50257,0.26675,0.85315,0.99894,1,0.995,0.8219,0.70015,0.2876,0.90561,0.0006734,0.0006734,0.0006734
69,11485.9,0.50857,0.26855,0.84676,0.99885,1,0.995,0.81313,0.73,0.2869,0.92268,0.0006536,0.0006536,0.0006536
70,11653.2,0.49988,0.25539,0.83473,0.99886,1,0.995,0.82414,0.71547,0.27842,0.91307,0.0006338,0.0006338,0.0006338
71,11820.6,0.47847,0.24917,0.83255,0.99898,1,0.995,0.82319,0.71134,0.27314,0.91066,0.000614,0.000614,0.000614
72,11988.7,0.45295,0.24277,0.82574,0.999,1,0.995,0.8182,0.6885,0.26286,0.89528,0.0005942,0.0005942,0.0005942
73,12155.6,0.46283,0.24437,0.83086,0.999,1,0.995,0.80493,0.71437,0.28047,0.90567,0.0005744,0.0005744,0.0005744
74,12325.3,0.4662,0.24375,0.8241,0.99902,1,0.995,0.82344,0.72158,0.27039,0.9115,0.0005546,0.0005546,0.0005546
75,12492.2,0.46024,0.23672,0.82332,0.99902,1,0.995,0.81596,0.71661,0.28106,0.91372,0.0005348,0.0005348,0.0005348
76,12660.7,0.45178,0.2389,0.81686,0.99898,1,0.995,0.81877,0.70292,0.26999,0.91012,0.000515,0.000515,0.000515
77,12826.9,0.44945,0.23606,0.82427,0.99852,1,0.995,0.81694,0.68918,0.25898,0.9018,0.0004952,0.0004952,0.0004952
78,12992.3,0.45993,0.24247,0.8282,0.99868,1,0.995,0.81915,0.67439,0.25811,0.90253,0.0004754,0.0004754,0.0004754
79,13157.5,0.43661,0.22684,0.83043,0.99898,1,0.995,0.81543,0.69829,0.27996,0.90351,0.0004556,0.0004556,0.0004556
80,13322.7,0.45285,0.23577,0.82395,0.99906,1,0.995,0.82749,0.67234,0.26539,0.89101,0.0004358,0.0004358,0.0004358
81,13487.6,0.45283,0.24156,0.81751,0.99895,1,0.995,0.83323,0.67707,0.26162,0.89974,0.000416,0.000416,0.000416
82,13653.5,0.42227,0.22432,0.81489,0.99902,1,0.995,0.81636,0.68691,0.27321,0.90764,0.0003962,0.0003962,0.0003962
83,13821.8,0.42477,0.22389,0.82089,0.99903,1,0.995,0.82717,0.67099,0.26147,0.89736,0.0003764,0.0003764,0.0003764
84,13988.9,0.43792,0.22823,0.81983,0.999,1,0.995,0.81868,0.69999,0.2556,0.90826,0.0003566,0.0003566,0.0003566
85,14155.4,0.41102,0.21571,0.81835,0.999,1,0.995,0.83547,0.65802,0.25205,0.89928,0.0003368,0.0003368,0.0003368
86,14321.5,0.42294,0.22222,0.82299,0.99902,1,0.995,0.83015,0.68755,0.25582,0.90797,0.000317,0.000317,0.000317
87,14485.5,0.42443,0.22755,0.82512,0.99902,1,0.995,0.83771,0.67864,0.25216,0.89717,0.0002972,0.0002972,0.0002972
88,14649.5,0.41512,0.21714,0.82105,0.99901,1,0.995,0.83449,0.66854,0.25372,0.89001,0.0002774,0.0002774,0.0002774
89,14813.3,0.41237,0.21281,0.81063,0.99905,1,0.995,0.82693,0.68279,0.25098,0.9029,0.0002576,0.0002576,0.0002576
90,14978.1,0.40497,0.21424,0.81524,0.99904,1,0.995,0.82538,0.68459,0.24631,0.89978,0.0002378,0.0002378,0.0002378
91,15141.7,0.36948,0.18746,0.79476,0.99902,1,0.995,0.82961,0.67121,0.24343,0.89674,0.000218,0.000218,0.000218
92,15305.1,0.35357,0.18506,0.7917,0.99905,1,0.995,0.83527,0.65742,0.24345,0.89285,0.0001982,0.0001982,0.0001982
93,15468.8,0.37949,0.19025,0.79934,0.99901,1,0.995,0.82802,0.66912,0.24019,0.8953,0.0001784,0.0001784,0.0001784
94,15632,0.3667,0.19043,0.79806,0.99904,1,0.995,0.82756,0.68055,0.24685,0.8978,0.0001586,0.0001586,0.0001586
95,15795.7,0.35905,0.18496,0.80123,0.99904,1,0.995,0.83407,0.67873,0.24697,0.89559,0.0001388,0.0001388,0.0001388
96,15959.3,0.35401,0.18006,0.79692,0.99904,1,0.995,0.82261,0.68345,0.24288,0.89861,0.000119,0.000119,0.000119
97,16122.4,0.35811,0.18092,0.80407,0.99906,1,0.995,0.82928,0.67156,0.24336,0.89549,9.92e-05,9.92e-05,9.92e-05
98,16286.1,0.34808,0.1793,0.79142,0.99907,1,0.995,0.83142,0.66782,0.24109,0.89546,7.94e-05,7.94e-05,7.94e-05
99,16449.3,0.34743,0.17825,0.79697,0.99907,1,0.995,0.82604,0.66096,0.23683,0.8952,5.96e-05,5.96e-05,5.96e-05
100,16613.3,0.35237,0.17696,0.78381,0.99906,1,0.995,0.83104,0.66649,0.23788,0.89637,3.98e-05,3.98e-05,3.98e-05
