epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7382.89,0.73382,0.38738,0.92475,0.9985,1,0.995,0.73675,0.95698,0.37593,0.97921,0.0011486,0.0011486,0.0011486
45,7551.9,0.7359,0.37842,0.92169,0.99875,0.98276,0.99392,0.82152,0.72494,0.34442,0.90691,0.0011288,0.0011288,0.0011288
46,7718.03,0.7185,0.37245,0.91541,0.99861,1,0.995,0.82708,0.66813,0.33828,0.89531,0.001109,0.001109,0.001109
47,7884.32,0.72548,0.37603,0.92369,0.99873,1,0.995,0.81631,0.70096,0.33962,0.9063,0.0010892,0.0010892,0.0010892
48,8050.57,0.70932,0.3695,0.90802,0.99877,1,0.995,0.82092,0.71864,0.32077,0.90027,0.0010694,0.0010694,0.0010694
49,8217.16,0.69687,0.36183,0.92085,0.99897,1,0.995,0.73882,0.93905,0.3497,0.96278,0.0010496,0.0010496,0.0010496
50,8383.73,0.70789,0.37109,0.90659,0.99893,1,0.995,0.80298,0.77357,0.33492,0.91132,0.0010298,0.0010298,0.0010298
51,8549.84,0.71992,0.3737,0.9114,0.99872,1,0.995,0.81318,0.75649,0.31166,0.90491,0.00101,0.00101,0.00101
52,8717.01,0.71221,0.36152,0.92158,0.99936,1,0.995,0.81308,0.74347,0.32551,0.90816,0.0009902,0.0009902,0.0009902
53,8883.71,0.71604,0.37114,0.92217,0.99897,1,0.995,0.70529,1.05983,0.35809,0.99119,0.0009704,0.0009704,0.0009704
54,9050.42,0.71463,0.36122,0.91369,0.99886,1,0.995,0.82483,0.7129,0.30803,0.89275,0.0009506,0.0009506,0.0009506
55,9217.11,0.68807,0.36337,0.90834,0.9989,1,0.995,0.80649,0.78038,0.31542,0.91786,0.0009308,0.0009308,0.0009308
56,9383.59,0.7006,0.35364,0.91222,0.9986,1,0.995,0.82126,0.69524,0.30441,0.89497,0.000911,0.000911,0.000911
57,9550.9,0.69463,0.35808,0.91305,0.99898,1,0.995,0.82823,0.68908,0.30926,0.89419,0.0008912,0.0008912,0.0008912
58,9718.44,0.69421,0.35298,0.90765,0.99878,1,0.995,0.82148,0.68481,0.32194,0.89263,0.0008714,0.0008714,0.0008714
59,9884.78,0.67309,0.34205,0.90084,0.99879,1,0.995,0.81377,0.74781,0.31112,0.91105,0.0008516,0.0008516,0.0008516
60,10050.9,0.65964,0.34508,0.89848,0.99893,1,0.995,0.79683,0.77319,0.31314,0.91374,0.0008318,0.0008318,0.0008318
61,10217.1,0.68345,0.34775,0.90963,0.999,1,0.995,0.81547,0.7216,0.30514,0.90876,0.000812,0.000812,0.000812
62,10383.6,0.70088,0.3485,0.90934,0.99749,1,0.995,0.7994,0.72576,0.33038,0.90868,0.0007922,0.0007922,0.0007922
63,10550.3,0.68946,0.35444,0.91288,0.99897,1,0.995,0.82402,0.71173,0.29493,0.89756,0.0007724,0.0007724,0.0007724
64,10717,0.6801,0.34483,0.902,0.99837,1,0.995,0.81635,0.7154,0.31293,0.90141,0.0007526,0.0007526,0.0007526
65,10883.3,0.65633,0.33548,0.90132,0.99884,1,0.995,0.82218,0.69842,0.29829,0.89672,0.0007328,0.0007328,0.0007328
66,11049.4,0.66427,0.343,0.89641,0.99897,1,0.995,0.80224,0.71942,0.30504,0.9009,0.000713,0.000713,0.000713
67,11216.3,0.64271,0.33041,0.89268,0.99899,1,0.995,0.83116,0.68714,0.29301,0.8905,0.0006932,0.0006932,0.0006932
68,11383.9,0.64628,0.33188,0.88464,0.99901,1,0.995,0.81149,0.71731,0.29535,0.89423,0.0006734,0.0006734,0.0006734
69,11552,0.63927,0.3286,0.88733,0.99815,1,0.995,0.83525,0.65245,0.27292,0.8812,0.0006536,0.0006536,0.0006536
70,11717.5,0.64123,0.32107,0.89085,0.99472,1,0.995,0.83564,0.65127,0.2839,0.88019,0.0006338,0.0006338,0.0006338
71,11884.3,0.64215,0.32416,0.88762,0.99869,1,0.995,0.81387,0.72889,0.28428,0.89929,0.000614,0.000614,0.000614
72,12050.8,0.65266,0.32084,0.90031,0.99883,1,0.995,0.84107,0.64457,0.26673,0.88552,0.0005942,0.0005942,0.0005942
73,12218.5,0.63575,0.32048,0.89038,0.9981,1,0.995,0.83126,0.67215,0.27519,0.88417,0.0005744,0.0005744,0.0005744
74,12385.2,0.63725,0.31729,0.89013,0.99825,1,0.995,0.81598,0.70313,0.27524,0.89156,0.0005546,0.0005546,0.0005546
75,12551.4,0.64711,0.32212,0.89838,0.9985,1,0.995,0.82046,0.68233,0.27905,0.88548,0.0005348,0.0005348,0.0005348
76,12717.2,0.62371,0.3115,0.88419,0.99873,1,0.995,0.8331,0.68135,0.27404,0.88829,0.000515,0.000515,0.000515
77,12883.6,0.62946,0.31635,0.89049,0.99867,1,0.995,0.83568,0.68839,0.26328,0.88852,0.0004952,0.0004952,0.0004952
78,13049.9,0.62484,0.31487,0.88644,0.99898,1,0.995,0.81217,0.70427,0.28086,0.89317,0.0004754,0.0004754,0.0004754
79,13216.9,0.60081,0.30638,0.87828,0.999,1,0.995,0.82754,0.69173,0.27555,0.89043,0.0004556,0.0004556,0.0004556
80,13383.7,0.62069,0.31226,0.89277,0.999,1,0.995,0.83197,0.667,0.27779,0.88573,0.0004358,0.0004358,0.0004358
81,13550.5,0.60834,0.31121,0.8701,0.999,1,0.995,0.83132,0.68269,0.28035,0.8898,0.000416,0.000416,0.000416
82,13717.6,0.62548,0.32188,0.88305,0.999,1,0.995,0.83113,0.68912,0.27921,0.88959,0.0003962,0.0003962,0.0003962
83,13884.3,0.62502,0.3099,0.89085,0.999,1,0.995,0.83624,0.66658,0.26935,0.88492,0.0003764,0.0003764,0.0003764
84,14051.3,0.6027,0.3014,0.87478,0.99903,1,0.995,0.82711,0.67357,0.26736,0.8863,0.0003566,0.0003566,0.0003566
85,14218.7,0.61605,0.30144,0.88039,0.99901,1,0.995,0.83052,0.65114,0.27558,0.88325,0.0003368,0.0003368,0.0003368
86,14386,0.57711,0.29672,0.87401,0.99901,1,0.995,0.84598,0.65008,0.26132,0.88104,0.000317,0.000317,0.000317
87,14551.9,0.59185,0.2933,0.87469,0.99902,1,0.995,0.84397,0.66184,0.26032,0.88865,0.0002972,0.0002972,0.0002972
